 SP07 0-3.0 GEV PP=44463/24916 NP=21496/12693 RAA (147)  5/03/07  5/ 3/ 7
          NP  3S1      11/18/24
     Tlab   WCM       Del    Dele    Rho    Rhoe     Sgt    Sge    Sgr
     0.10 1876.56   169.32   0.00     0.00   0.00  5370.26 5370.26   0.00
     3.00 1878.01   128.87   0.00     0.00   0.00  3158.15 3158.15   0.00
     6.00 1879.51   114.23   0.00     0.00   0.00  2165.78 2165.78   0.00
     9.00 1881.01   105.01   0.00     0.00   0.00  1619.32 1619.32   0.00
    12.00 1882.50    98.24   0.00     0.00   0.00  1274.66 1274.66   0.00
    15.00 1884.00    92.89   0.00     0.00   0.00  1038.28 1038.28   0.00
    18.00 1885.49    88.44   0.00     0.13   0.00   866.64 866.64   0.00
    21.00 1886.98    84.63   0.00     0.00   0.00   736.77 736.77   0.00
    24.00 1888.47    81.29   0.00     0.00   0.00   635.37 635.37   0.00
    27.00 1889.96    78.31   0.00     0.00   0.00   554.22 554.22   0.00
    30.00 1891.45    75.61   0.00     0.00   0.00   487.99 487.99   0.00
    33.00 1892.94    73.15   0.00     0.07   0.00   433.04 433.04   0.00
    36.00 1894.43    70.88   0.00     0.00   0.00   386.82 386.82   0.00
    39.00 1895.91    68.77   0.00     0.00   0.00   347.50 347.50   0.00
    42.00 1897.40    66.80   0.00     0.00   0.00   313.71 313.71   0.00
    45.00 1898.88    64.95   0.00     0.00   0.00   284.42 284.42   0.00
    48.00 1900.36    63.21   0.00     0.00   0.00   258.84 258.84   0.00
    51.00 1901.84    61.55   0.00     0.00   0.00   236.35 236.35   0.00
    54.00 1903.32    59.99   0.00     0.00   0.00   216.45 216.45   0.00
    57.00 1904.80    58.49   0.00     0.00   0.00   198.76 198.76   0.00
    60.00 1906.28    57.06   0.00     0.00   0.00   182.96 182.96   0.00
    63.00 1907.75    55.69   0.00     0.00   0.00   168.77 168.77   0.00
    66.00 1909.23    54.37   0.00     0.00   0.00   155.99 155.99   0.00
    69.00 1910.70    53.11   0.00     0.00   0.00   144.44 144.44   0.00
    72.00 1912.17    51.89   0.00     0.00   0.00   133.96 133.96   0.00
    75.00 1913.64    50.72   0.00     0.00   0.00   124.43 124.43   0.00
    78.00 1915.11    49.58   0.00     0.00   0.00   115.74 115.74   0.00
    81.00 1916.58    48.48   0.00     0.00   0.00   107.79 107.79   0.00
    84.00 1918.05    47.42   0.00     0.00   0.00   100.50 100.50   0.00
    87.00 1919.52    46.38   0.00     0.00   0.00    93.81  93.81   0.00
    90.00 1920.98    45.38   0.00     0.00   0.00    87.64  87.64   0.00
    93.00 1922.45    44.41   0.00     0.00   0.00    81.96  81.96   0.00
    96.00 1923.91    43.46   0.00     0.00   0.00    76.71  76.71   0.00
    99.00 1925.38    42.54   0.00     0.00   0.00    71.86  71.86   0.00
   102.00 1926.84    41.64   0.00     0.00   0.00    67.36  67.36   0.00
   105.00 1928.30    40.77   0.00     0.00   0.00    63.18  63.18   0.00
   108.00 1929.76    39.91   0.00     0.00   0.00    59.30  59.30   0.00
   111.00 1931.21    39.08   0.00     0.00   0.00    55.70  55.70   0.00
   114.00 1932.67    38.27   0.00     0.00   0.00    52.33  52.33   0.00
   117.00 1934.13    37.47   0.00     0.00   0.00    49.20  49.20   0.00
   120.00 1935.58    36.69   0.00     0.00   0.00    46.27  46.27   0.00
   123.00 1937.04    35.94   0.00     0.00   0.00    43.54  43.54   0.00
   126.00 1938.49    35.19   0.00     0.00   0.00    40.99  40.99   0.00
   129.00 1939.94    34.46   0.00     0.00   0.00    38.59  38.59   0.00
   132.00 1941.39    33.75   0.00     0.00   0.00    36.35  36.35   0.00
   135.00 1942.84    33.05   0.00     0.00   0.00    34.25  34.25   0.00
   138.00 1944.29    32.37   0.00     0.00   0.00    32.28  32.28   0.00
   141.00 1945.74    31.70   0.00     0.00   0.00    30.43  30.43   0.00
   144.00 1947.18    31.04   0.00     0.00   0.00    28.69  28.69   0.00
   147.00 1948.63    30.40   0.00     0.00   0.00    27.06  27.06   0.00
   150.00 1950.07    29.76   0.00     0.00   0.00    25.52  25.52   0.00
   153.00 1951.51    29.14   0.00     0.00   0.00    24.08  24.08   0.00
   156.00 1952.95    28.53   0.00     0.00   0.00    22.71  22.71   0.00
   159.00 1954.40    27.93   0.00     0.00   0.00    21.43  21.43   0.00
   162.00 1955.84    27.34   0.00     0.00   0.00    20.22  20.22   0.00
   165.00 1957.27    26.76   0.00     0.00   0.00    19.08  19.08   0.00
   168.00 1958.71    26.19   0.00     0.00   0.00    18.00  18.00   0.00
   171.00 1960.15    25.63   0.00     0.00   0.00    16.99  16.99   0.00
   174.00 1961.58    25.08   0.00     0.00   0.00    16.03  16.03   0.00
   177.00 1963.02    24.54   0.00     0.00   0.00    15.12  15.12   0.00
   180.00 1964.45    24.00   0.00     0.00   0.00    14.27  14.27   0.00
   183.00 1965.88    23.48   0.00     0.00   0.00    13.46  13.46   0.00
   186.00 1967.32    22.96   0.00     0.00   0.00    12.69  12.69   0.00
   189.00 1968.75    22.45   0.00     0.00   0.00    11.97  11.97   0.00
   192.00 1970.17    21.95   0.00     0.00   0.00    11.28  11.28   0.00
   195.00 1971.60    21.45   0.00     0.00   0.00    10.64  10.64   0.00
   198.00 1973.03    20.96   0.00     0.00   0.00    10.02  10.02   0.00
